Taxon;Richness;length_min;length_max;reference;notes
Coleoptera Rhipiceridae;70;10;25;(Parker, 1982);
Coleoptera Ripiphoridae;400;2;38;(Parker, 1982);
Coleoptera Salpingidae;300;1.5;12;(Parker, 1982);
Coleoptera Scarabaeidae;27000;1;160;(Parker, 1982);
Coleoptera Scirtidae;800;1.5;12;(Parker, 1982);
Coleoptera Scraptiidae;500;1.3;15;(Parker, 1982);
Coleoptera Scydmaenidae;4586;0.5;7;(Parker, 1982);
Coleoptera Silphidae;200;7;45;(Parker, 1982);
Coleoptera Silvanidae;500;2;15;(Arnett et al., 2010);
Coleoptera Spercheidae;19;3;7;(Darilmaz & Kiyak, 2011);
Coleoptera Sphaeritidae;5;4;6;(Parker, 1982);
Coleoptera Sphindidae;59;1.5;3.5;(Leschen et al., 2010);
Coleoptera Staphylinidae;56000;0.5;50;(Parker, 1982);
Coleoptera Synchroidae;8;7;13;(Parker, 1982);
Coleoptera Tenebrionidae;20000;1;50;(Parker, 1982);
Coleoptera Tetratomidae;150;2.8;15;(Parker, 1982);
Coleoptera Throscidae;150;1.2;6;(Leschen et al., 2010);
Coleoptera Trictenotomidae;13;32;80;(Leschen et al., 2010);
Coleoptera Trogossitidae;600;1;50;(Parker, 1982);
Coleoptera Zopheridae;1700;2;40;(Parker, 1982);
Collembola Entomobryidae;2189;1;10;(Arnett, 2000);Includes Paronellidae- 
Collembola Hypogastruridae;682;0.8;3;(Arnett, 2000);
Collembola Isotomidae;1346;0.7;6;(Arnett, 2000);
Collembola Neanuridae;1546;2;3.5;(Arnett, 2000);includes Brachystomellidae 
Collembola Neelidae;33;0.3;0.7;(Arnett, 2000);
Collembola Onychiuridae;913;0.5;3;(Arnett, 2000);includes Odontellidae + Tullbergiidae 
Collembola Poduridae;1;1.3;2;(Arnett, 2000)/(Hopkin, 1997);
Collembola Sminthuridae;742;0.4;2.7;(Arnett, 2000);includes Bourletiellidae, Dicyrtomidae and Oncopoduridae 
Collembola Tomoceridae;354;6;10;(Arnett, 2000);includes Katiannidae
Dermaptera Anisolabididae;38;9;13;(Arnett, 2000);
Dermaptera Apachyidae;15;11;25;(Boeseman, 1954);
Dermaptera Chelisochidae;95;16;20;(Arnett, 2000);
Dermaptera Forficulidae;485;10;18;(Arnett, 2000);
Dermaptera Labiduridae;64;18;80;(Arnett, 2000)/(Berenbaum, 2007);
Dermaptera Labiidae;495;4;7;(Arnett, 2000);
Dermaptera Pygidicranidae;181;9;45;(Parker, 1982);
Diplura Campodeidae;448;8;10;(Arnett, 2000);
Diplura Japygoidea;590;8;50;(Arnett, 2000);
Diptera Acartophthalmidae;6;2.5;3;(McAlpine et al., eds, 1987);
Diptera Acroceridae;400;2;21;(Brown et al., 2009);
Diptera Agromyzidae;3017;0.9;6.5;(Brown et al., 2009);
Diptera Anisopodidae;196;2;18;(McAlpine et al., eds, 1981);
Diptera Anthomyiidae;1941;2;12;(McAlpine et al., eds, 1987);
Diptera Anthomyzidae;100;1.1;3.4;(Brown et al., 2009);
Diptera Apioceridae;143;7.5;35;(McAlpine et al., eds, 1981);
Diptera Apsilocephalidae;7;4.5;5.5;(Nagatomi et al., 1991);
Diptera Asilidae;7531;3;60;(Brown et al., 2009);
Diptera Asteiidae;138;1;5;(Brown et al., 2009);
Diptera Atelestidae;22;1.5;4;(Wiegmann, 1989)/(Capinera, 2008);
Diptera Athericidae;133;7;10;(Brown et al., 2009);
Diptera Aulacigastridae;19;1.5;4;(Brown et al., 2009);
Diptera Australimyzidae;9;1.3;2.6;(Brake & Mathis, 2007);
Diptera Austroleptidae;8;3.1;5.3;(Nagatomi & Nagatomi, 1987);
Diptera Axymyiidae;8;4;7;(Schneeberg et al., 2013);Data given as wing length
Diptera Bibionidae;1382;2;15;(Brown et al., 2009);Includes Pleciidae
Diptera Blephariceridae;331;3;13;(McAlpine et al., eds, 1981);
Diptera Bombyliidae;5382;4;40;(Arnett, 2000);
Diptera_Braulidae;7;1;1.7;(McAlpine et al., eds, 1987);
Diptera Calliphoridae;1525;4;16;(McAlpine et al., eds, 1987);
Diptera Canthyloscelidae;14;2;3.5;Manual of Neoarctic diptera;
Diptera Carnidae;92;1;3;(Brown et al., 2009);
Diptera Cecidomyiidae;6296;1;8;(McAlpine et al., eds, 1981);
Diptera Ceratopogonidae;5902;1;6;(McAlpine et al., eds, 1981);
Diptera Chaoboridae;89;1.4;10;(McAlpine et al., eds, 1981);
Diptera Chironomidae;7290;1;13;(Brown et al., 2009);
Diptera Chloropidae;2885;1;7;(Karpa, 2001);
Diptera Chyromyidae;139;0.5;4.5;(Brown et al., 2009)/ (McAlpine et al., eds, 1987);
Diptera Clusiidae;363;1.8;7.5;(McAlpine et al., eds, 1987);
Diptera Coelopidae;35;3;16;(Brown et al., 2009);
Diptera Conopidae;831;2.5;30;(Brown et al., 2009);
Diptera Corethrellidae;111;0.6;2.5;(Brown et al., 2009);
Diptera Culicidae;3725;3;9;(McAlpine et al., eds, 1981);
Diptera Deuterophlebiidae;14;2;4;(Arnett, 2000);
Diptera Diadocidiidae;39;3;10;(Bechev & Chandler, 2011);
Diptera Diopsidae;194;4;12;(McAlpine et al., eds, 1987);
Diptera Dixidae;197;4.5;7;(Arnett, 2000);
Diptera Dolichopodidae;7358;0.8;9;(McAlpine et al., eds, 1981);
Diptera Drosophilidae;4017;1;7;(Brown et al., 2009);
Diptera Dryomyzidae;30;4;18;(Mathis & Sueyoshi, 2011);
Diptera Empididae;3142;2;12;(Capinera, 2008);
Diptera Ephydridae;1994;0.6;11;(Brown et al., 2009);
Diptera Fanniidae;359;3.5;7.5;(Brown et al., 2009);
Diptera Fergusoninidae;29;2;3;(Nelson et al., 2011);
Diptera Glossinidae;25;6;14;(Wall & Shearer, 2008);
Diptera Helcomyzidae;12;3;16;(Mathis, 2011a);
Diptera Helosciomyzidae;23;5;11;(Barnes, 1981);
Diptera Hesperinidae;10;4.7;12;(Papp, 2010);
Diptera Heterocheilidae;2;4.2;6.5;(Mathis, 2011b);
Diptera Hilarimorphidae;36;1.8;7.2;(McAlpine et al., eds, 1981);
Diptera Hippoboscidae;271;1.5;12;(McAlpine et al., eds, 1987);
Diptera Hybotidae;2005;1;9;(Capinera, 2008);
Diptera Keroplatidae;993;2.8;8.8;(Brown et al., 2009) ;
Diptera Lauxaniidae;1900;2;11;(Brown et al., 2009);
Diptera Lonchaeidae;504;3;6;(Brown et al., 2009);
Diptera Lonchopteridae;65;2;4;(Brown et al., 2009);
Diptera Lygistorrhinidae;44;3;5;(Brown et al., 2009);
Diptera Marginidae;3;1.5;2;(McAlpine, 1991);
Diptera Micropezidae;583;5;17;(Brown et al., 2009);
Diptera Milichiidae;288;1;7;(Brown et al., 2009);
Diptera Muscidae;5218;2;20;(Brown et al., 2009);
Diptera Mycetophilidae;4525;2.2;13.3;(McAlpine et al., eds, 1981);
Diptera Mydidae;498;9;60;(McAlpine et al., eds, 1981);
Diptera Mythicomyiidae;350;0.8;3;(Brown et al., 2009);
Diptera Nemestrinidae;300;4;16;(Brown et al., 2009);
Diptera Neurochaetidae;22;1.5;4.1;(McAlpine, 1993);
Diptera Nycteribiidae;274;1.5;5.5;(Brown et al., 2009);
Diptera Odiniidae;65;2.5;6;(Brown et al., 2009);
Diptera Oestridae;176;8;25;(McAlpine et al., eds, 1987);
Diptera Opomyzidae;61;2;4.4;(McAlpine et al., eds, 1987);
Diptera Pachyneuridae;8;5;6;(Arnett, 2000);
Diptera Pallopteridae;71;3;5;(McAlpine et al., eds, 1987);
Diptera Pelecorhynchidae;49;4;18;(McAlpine et al., eds, 1981);
Diptera Periscelididae;91;2.5;5;(Brown et al., 2009);
Diptera Perissommatidae;9;1;2;(Colless, 1969);
Diptera Phoridae;4200;0.5;6;(Brown et al., 2009);
Diptera Piophilidae;83;3;8;(Brown et al., 2009);
Diptera Pipunculidae;1428;2;11.5;(Brown et al., 2009);
Diptera Platypezidae;277;1.4;10;(Brown et al., 2009);
Diptera Platystomatidae;1164;2.5;20;(Brown et al., 2009);
Diptera Psilidae;322;3;12;(Brown et al., 2009);
Diptera Psychodidae;3026;1;5;(Brown et al., 2009);
Diptera Ptychopteridae;156;7;14;(Brown et al., 2009);
Diptera Pyrgotidae;351;5;30;(Brown et al., 2009);
Diptera Rhagionidae;756;4;12;(Brown et al., 2009);
Diptera Rhinophoridae;174;3.5;8;(Brown et al., 2009);
Diptera Richardiidae;178;3;15;(Brown et al., 2009);
Diptera Sarcophagidae;3094;5;25;(Brown et al., 2009);
Diptera Scathophagidae;419;3;13;(McAlpine et al., eds, 1987);
Diptera Scatopsidae;407;0.6;4.1;(McAlpine et al., eds, 1981);
Diptera Scenopinidae;420;1;8.5;(Oosterbroek, 1998);
Diptera Sciaridae;2455;1;11;(McAlpine et al., eds, 1981);
Diptera Sciomyzidae;618;2;13;(Brown et al., 2009);
Diptera Sepsidae;345;2;7;(Brown et al., 2009);
Diptera Simuliidae;2121;1;5.5;(McAlpine et al., eds, 1981);
Diptera Somatiidae;7;3.5;5;(Brown et al., 2009);
Diptera Sphaeroceridae;1571;0.7;6;(Brown et al., 2009);
Diptera Stratiomyidae;2690;2;28;(Brown et al., 2009);
Diptera Streblidae;237;0.7;5.5;(Brown et al., 2009);
Diptera Strongylophthalmyiidae;45;2;6;(Palaczyk et al., 2013);
Diptera Synneuridae;3;2;3.5;(McAlpine et al., eds, 1981);
Diptera Syrphidae;6107;4;25;(Brown et al., 2009);
Diptera Tabanidae;4434;6;30;(McAlpine et al., eds, 1981);
Diptera Tachinidae;9626;3;25;(Brown et al., 2009);
Diptera Tanyderidae;55;11;23;(Arnett, 2000);Data given as wingspan
Diptera Tephritidae;4716;2;35;(Brown et al., 2009);
Diptera Thaumaleidae;183;2;4.5;(Arnett, 2000);
Diptera Therevidae;1143;2.5;15;(McAlpine et al., eds, 1981);
Diptera Tipulidae;15770;6;60;(McAlpine et al., eds, 1981);
Diptera Trichoceridae;183;3;9;(Brown et al., 2009);
Diptera Ulidiidae;678;2;14;(Brown et al., 2009);
Diptera Vermileonidae;61;7;12;(Brown et al., 2009);
Diptera Xenasteiidae;13;1.2;2;(Evenhius, 2011);
Diptera Xylomyidae;138;5;15;(McAlpine et al., eds, 1981);
Diptera Xylophagidae;145;2;25;(McAlpine et al., eds, 1981);
Embioptera;337;4;22;(Arnett, 2000);Represents Order
Ephemeroptera Ameletidae;56;7;21;(Zloty & Pritchard, 1997);
Ephemeroptera Ameletopsidae;6;15.5;22;(Mercado & Elliot, 2005);
Ephemeroptera Ametropodidae;3;13;15;(Edmunds et al., 1976);Data as forewing length
Ephemeroptera Baetidae;860;3;10;(Arnett, 2000);
Ephemeroptera Baetiscidae;12;8;16;(Edmunds et al., 1976);Data as forewing length
Ephemeroptera Behningiidae;7;12;18;(Parker, 1982);
Ephemeroptera Caenidae;211;2;6;(Arnett, 2000);
Ephemeroptera Coloburiscidae;6;13;18;(Marsh, 2004);
Ephemeroptera Dipteromimidae;2;13;23.5;(Tojo & Matsukawa, 2003);
Ephemeroptera Ephemerellidae;91;5;12;(Arnett, 2000);
Ephemeroptera Ephemeridae;160;10;32;(Parker, 1982);
Ephemeroptera Euthyplociidae;19;11;16;(Gillies, 1980);
Ephemeroptera Heptageniidae;529;4;14;(Arnett, 2000);
Ephemeroptera Ichthybotidae;2;19;22;(Phillips, 1930);
Ephemeroptera Isonychiidae;30;9;16;(Arnett, 2000);
Ephemeroptera Leptohyphidae;157;2;10;(Dominguez et al., 2006);
Ephemeroptera Leptophlebiidae;623;4;12;(Edmunds et al., 1976);Data as forewing length
Ephemeroptera Metretopodidae;13;9;16;(Edmunds et al., 1976);Data as forewing length
Ephemeroptera_Neoephemeridae;7;6;13;(Bae & McCafferty, 1998);
Ephemeroptera Nesameletidae;11;10.5;16.5;(Hitchings & Staniczek, 2003);
Ephemeroptera Oligoneuriidae;54;6;10;(Edmunds et al., 1976);Data as forewing length
Ephemeroptera Oniscigastridae;8;10;11;(Heckman, 2002);
Ephemeroptera Palingeniidae;32;15;35;(Parker, 1982);
Ephemeroptera Polymitarcyidae;84;12;35;(Parker, 1982);
Ephemeroptera Potamanthidae;23;8;25;(Parker 1982);
Ephemeroptera Prosopistomatidae;19;1.5;4.5;(Pearson & Penridge 1979);
Ephemeroptera Rallidentidae;1;10.5;12;(Penniket 1966);
Ephemeroptera Siphlaenigmatidae;1;8;9;(Penniket 1962);
Ephemeroptera Siphlonuridae;49;9;13;(Arnett 2000);
Ephemeroptera Tricorythidae;34;4;6.5;(Edmunds et al. 1976);Data as forewing length
Grylloblattidae;27;10;30;(Arnett 2000);
Hemiptera Acanthosomatidae;200;6;18;(Schuh & Slater 1995);
Hemiptera Achilidae;503;3;13;(Capinera 2008);
Hemiptera Achilixiidae;24;4;8;(Capinera 2008);
Hemiptera Aetalionidae;42;3;30;(Deitz et al. 2010);
Hemiptera Aleyrodoidea;1560;1;4;(Capinera 2008);
Hemiptera Alydidae;250;8;20;(Schuh & Slater 1995);
Hemiptera Anthocoridae;600;1.4;4.5;(Schuh & Slater 1995);
Hemiptera Aphelocheiridae;400;3.5;11.5;(Schuh & Slater 1995);
Hemiptera Aphidoidea;4375;1;8;(Capinera 2008);Includes Phylloxeroidea
Hemiptera Aradidae;2000;3;11;(Schuh & Slater 1995);
Hemiptera Belostomatidae;150;9;110;(Schuh & Slater 1995);
Hemiptera Berytidae;100;2.5;11;(Schuh & Slater 1995);
Hemiptera Caliscelidae;202;1;5;(Capinera 2008);
Hemiptera Canopidae;8;5;7;(Schuh & Slater 1995);
Hemiptera Cercopidae;2410;5;20;(Arnett 2000);Includes Aphrophoridae, Clastopteridae, Machaerotidae
Hemiptera Cicadellidae;20000;1.7;28;(Evans 1966);
Hemiptera Cicadidae;1300;10;100;(Capinera 2008);
Hemiptera Cimicidae;100;2;12;(Schuh & Slater 1995);
Hemiptera Cixiidae;2223;3;13;(Capinera 2008);
Hemiptera Coccoidea;8000;0.6;35;(Arnett 2000);
Hemiptera Colobathristidae;90;6;20;(Schuh & Slater 1995);
Hemiptera Coreidae;1900;7;45;(Schuh & Slater 1995);
Hemiptera Corixidae;600;2.5;15;(Schuh & Slater 1995);
Hemiptera Cydnidae;617;2;20;(Schuh & Slater 1995);
Hemiptera Delphacidae;2029;2;10;(Capinera 2008);
Hemiptera Derbidae;1700;4;11;(Capinera 2008)/ (Arnett 2000);
Hemiptera Dictyopharidae;731;3;33;(Capinera 2008);
Hemiptera Dinidoridae;90;9;27;(Schuh & Slater 1995);
Hemiptera Dipsocoridae;30;0.8;3;(Schuh & Slater 1995);
Hemiptera Enicocephalidae;400;2;15;(Schuh & Slater 1995);
Hemiptera Eurybrachyidae;189;7;29;(Capinera 2008);
Hemiptera Flatidae;1446;4;32;(Capinera 2008);
Hemiptera Fulgoridae;687;4;100;(Capinera 2008);
Hemiptera Gelastocoridae;100;7;15;(Schuh & Slater 1995);
Hemiptera Gerridae;620;1.6;36;(Schuh & Slater 1995);
Hemiptera Hebridae;150;1.3;3.7;(Schuh & Slater 1995);
Hemiptera Hermatobatidae;8;2.5;4;(Schuh & Slater 1995);
Hemiptera Hydrometridae;110;2.7;22;(Schuh & Slater 1995);
Hemiptera Hyocephalidae;3;8;15;Resh and Carde 2009;
Hemiptera Idiostolidae;4;5;7;(Schuh & Slater 1995);
Hemiptera Issidae;924;2;19;(Capinera 2008);
Hemiptera Joppeicidae;1;2.5;3;(Schuh & Slater 1995);Modified to avoid zero variance
Hemiptera Largidae;120;7;55;(Arnett 2000)/ (Schuh & Slater 1995);
Hemiptera Leptopodidae;40;1.8;7;(Schuh & Slater 1995);
Hemiptera Lestoniidae;2;3.5;5.6;(Schuh & Slater 1995);
Hemiptera Lophopidae;138;5;15;(Capinera 2008);
Hemiptera Lyctocoridae;27;2;6;(Schuh & Slater 1995);
Hemiptera Lygaeidae;4400;1.2;12;(Schuh & Slater 1995);
Hemiptera Macroveliidae;3;2.5;5.6;(Schuh & Slater 1995);
Hemiptera Malcidae;20;3;4;(Schuh & Slater 1995);
Hemiptera Meenoplidae;158;3;7;(Capinera 2008);
Hemiptera Membracidae;3450;2;24;(Deitz et al. 2010);
Hemiptera Mesoveliidae;35;1.2;4.2;(Schuh & Slater 1995);
Hemiptera Microphysidae;30;1.5;3;(Schuh & Slater 1995);
Hemiptera Miridae;10000;2;15;(Schuh & Slater 1995);
Hemiptera Nabidae;400;7;11;(Arnett 2000);
Hemiptera Naucoridae;500;5;20;(Schuh & Slater 1995);
Hemiptera Nepidae;225;15;45;(Schuh & Slater 1995);
Hemiptera Nogodinidae;286;4;17;(Capinera 2008);
Hemiptera Notonectidae;350;5;15;(Schuh & Slater 1995);
Hemiptera Ochteridae;50;4.5;9;(Schuh & Slater 1995);
Hemiptera Paraphrynoveliidae;2;1.7;2.4;(Schuh & Slater 1995);
Hemiptera Peloridiidae;12;2;5;(Resh & Cardé 2009);
Hemiptera Pentatomidae;4500;4;20;(Schuh & Slater 1995);
Hemiptera Phloeidae;3;20;30;(Schuh & Slater 1995);
Hemiptera Piesmatidae;40;2.5;5;(Schuh & Slater 1995);
Hemiptera Plataspidae;500;2;20;(Schuh & Slater 1995);
Hemiptera Pleidae;40;1.5;3;(Schuh & Slater 1995);
Hemiptera Plokiophilidae;6;1.2;3;(Schuh & Slater 1995);
Hemiptera Psylloidea;2500;1;8;(Capinera 2008);
Hemiptera Pyrrhocoridae;225;8;30;(Schuh & Slater 1995);
Hemiptera Reduviidae;6700;7;40;(Schuh & Slater 1995);Includes Phymatidae
Hemiptera Rhopalidae;200;4;15;(Schuh & Slater 1995);
Hemiptera Ricaniidae;417;4;12;(Capinera 2008);
Hemiptera Saldidae;265;2.3;7.4;(Schuh & Slater 1995);
Hemiptera Schizopteridae;120;0.8;2;(Schuh & Slater 1995);
Hemiptera Scutelleridae;500;5;20;(Schuh & Slater 1995);
Hemiptera Stenocephalidae;30;8;15;(Schuh & Slater 1995);
Hemiptera Termitaphididae;9;2;3;(Schuh & Slater 1995);
Hemiptera Tessaratomidae;250;15;40;(Foottit & Adler 2009);
Hemiptera Tettigometridae;73;3;11;(Capinera 2008);
Hemiptera Thaumastocoridae;19;2;4.6;(Schuh & Slater 1995);
Hemiptera Tingidae;2000;2;8;(Schuh & Slater 1995);
Hemiptera Tropiduchidae;575;5;13;(Capinera 2008);
Hemiptera Veliidae;720;1;10;(Schuh & Slater 1995);
Hemiptera Velocipedidae;31;10;15;(Schuh & Slater 1995);
Hymenoptera Agaonidae;757;1;3;(Parker 1982);
Hymenoptera Ampulicidae;200;5;15;(Arnett 2000);
Hymenoptera Anaxyelidae;1;7.5;8;(Parker 1982);Modified to avoid zero variance
Hymenoptera Andrenidae;2938;4;22;(Arnett 2000);
Hymenoptera Aphelinidae;1168;0.35;2.5;(Parker 1982);
Hymenoptera Apidae;5751;3.5;27;(Arnett 2000);
Hymenoptera Argidae;800;4;15;(Parker 1982);
Hymenoptera Aulacidae;200;1;20;(Parker 1982);
Hymenoptera Bethylidae;2000;1;20;(Parker 1982);
Hymenoptera Blasticotomidae;10;6;10;(Parker 1982);
Hymenoptera Braconidae;20000;2;15;(Parker 1982);
Hymenoptera Bradynobaenidae;200;3;20;(Parker 1982);
Hymenoptera Cephidae;80;5;25;(Parker 1982);
Hymenoptera Ceraphronidae;350;0.5;5;(Parker 1982);
Hymenoptera Chalcididae;1464;2;12;(Parker 1982);
Hymenoptera Chrysididae;3000;2.5;20;(Parker 1982);
Hymenoptera Cimbicidae;130;18;25;(Arnett 2000);
Hymenoptera Colletidae;2545;3.5;20;(Arnett 2000);
